cond1   cond2   group   diff
650     646     1       -4
694     695     1       1
649     887     1       238
649     874     1       225
452     611     1       159
651     857     1       206
427     671     1       244
645     686     1       41
665     627     1       -38
731     444     1       -287
650     532     1       -118
708     633     1       -75
582     755     1       173
629     715     1       86
754     858     1       104
827     933     1       106
841     852     2       11
721     762     2       41
677     880     2       183
696     675     2       -21
604     798     2       194
625     689     2       64
564     738     2       174
561     641     2       80
706     895     2       189
604     611     2       7
546     592     2       46
530     700     2       170
737     871     2       134
624     878     2       254
790     794     2       4
458     737     2       279
755     742     2       -13
586     802     2       216
748     786     2       40
341     924     2       583
364     979     2       615
656     810     3       154
840     454     3       -386
655     894     3       -239
889     673     3       -216
949     788     3       -161
930     705     3       -225
634     763     3       129
649     697     3       48
622     637     3       15
764     965     3       201
773     516     3       -257
617     603     3       -14
720     926     3       206
522     613     3       91
916     494     3       -422
616     766     3       150
523     619     3       96
648     480     3       -168
688     521     3       -167
678     691     3       13
897     836     3       061
